Sample,Treatment,Stage treated,Gene,SDM.gene,rp49.1,rp49.2
PyrT59,B.5mM,PuD0,F.Pkkr-h1B,5.59E-08,1.37E-03,2.13E-03
PyrT60,B.5mM,PuD0,F.Pkkr-h1B,1.06E-07,1.48E-03,2.03E-03
PyrT63,B.5mM,PuD0,F.Pkkr-h1B,3.60E-08,1.02E-03,1.82E-03
PyrT64,B.5mM,PuD0,F.Pkkr-h1B,7.64E-07,4.64E-04,9.70E-04
PyrT21,A.Methanol,PreD1,B.Met,2.57E-04,1.77E-03,2.42E-03
PyrT11,A.Methanol,PreD1,B.Met,4.16E-04,4.21E-03,4.68E-03
PyrT19,A.Methanol,PreD1,B.Met,2.88E-04,2.01E-03,2.68E-03
PyrT20,A.Methanol,PreD1,B.Met,9.15E-04,5.27E-03,4.50E-03
PyrT30,A.Methanol,PreD1,B.Met,5.25E-04,3.63E-03,3.43E-03
PyrT37,A.Methanol,PreD1,B.Met,6.66E-04,5.32E-03,5.15E-03
PyrT27,A.Methanol,PuD0,B.Met,3.54E-04,3.54E-04,5.34E-04
PyrT34,A.Methanol,PuD0,B.Met,3.49E-04,1.18E-03,1.38E-03
PyrT35,A.Methanol,PuD0,B.Met,4.04E-04,1.39E-03,9.39E-04
PyrT36,A.Methanol,PuD0,B.Met,3.71E-04,9.17E-04,1.22E-03
PyrT44,A.Methanol,PuD0,B.Met,2.21E-04,3.94E-04,7.17E-04
PyrT54,B.5mM,PreD1,B.Met,1.46E-04,7.86E-04,1.43E-03
PyrT55,B.5mM,PreD1,B.Met,6.00E-04,2.35E-03,3.51E-03
PyrT56,B.5mM,PreD1,B.Met,3.14E-04,1.28E-03,2.58E-03
PyrT57,B.5mM,PreD1,B.Met,3.37E-04,1.69E-03,3.14E-03
PyrT61,B.5mM,PreD1,B.Met,2.67E-04,2.08E-03,2.64E-03
PyrT62,B.5mM,PreD1,B.Met,4.85E-04,5.07E-03,3.12E-03
PyrT52,B.5mM,PuD0,B.Met,5.25E-04,7.55E-03,1.94E-03
PyrT58,B.5mM,PuD0,B.Met,5.63E-04,3.61E-04,2.64E-03
PyrT59,B.5mM,PuD0,B.Met,6.62E-04,1.37E-03,2.13E-03
PyrT60,B.5mM,PuD0,B.Met,3.41E-04,1.48E-03,2.03E-03
PyrT63,B.5mM,PuD0,B.Met,5.67E-04,1.02E-03,1.82E-03
PyrT64,B.5mM,PuD0,B.Met,4.07E-04,4.64E-04,9.70E-04
PyrT21,A.Methanol,PreD1,G.Pkbr1,7.81E-06,1.77E-03,2.42E-03
PyrT11,A.Methanol,PreD1,G.Pkbr1,1.21E-03,4.21E-03,4.68E-03
PyrT19,A.Methanol,PreD1,G.Pkbr1,9.04E-06,2.01E-03,2.68E-03
PyrT20,A.Methanol,PreD1,G.Pkbr1,4.92E-05,5.27E-03,4.50E-03
PyrT30,A.Methanol,PreD1,G.Pkbr1,4.83E-05,3.63E-03,3.43E-03
PyrT37,A.Methanol,PreD1,G.Pkbr1,1.84E-04,5.32E-03,5.15E-03
PyrT27,A.Methanol,PuD0,G.Pkbr1,1.10E-05,3.54E-04,5.34E-04
PyrT34,A.Methanol,PuD0,G.Pkbr1,1.48E-05,1.18E-03,1.38E-03
PyrT35,A.Methanol,PuD0,G.Pkbr1,5.93E-06,1.39E-03,9.39E-04
PyrT36,A.Methanol,PuD0,G.Pkbr1,2.07E-06,9.17E-04,1.22E-03
PyrT44,A.Methanol,PuD0,G.Pkbr1,8.59E-07,3.94E-04,7.17E-04
PyrT54,B.5mM,PreD1,G.Pkbr1,4.27E-06,7.86E-04,1.43E-03
PyrT55,B.5mM,PreD1,G.Pkbr1,1.17E-05,2.35E-03,3.51E-03
PyrT56,B.5mM,PreD1,G.Pkbr1,4.43E-06,1.28E-03,2.58E-03
PyrT57,B.5mM,PreD1,G.Pkbr1,3.26E-05,1.69E-03,3.14E-03
PyrT61,B.5mM,PreD1,G.Pkbr1,1.48E-05,2.08E-03,2.64E-03
PyrT62,B.5mM,PreD1,G.Pkbr1,3.95E-05,5.07E-03,3.12E-03
PyrT52,B.5mM,PuD0,G.Pkbr1,6.21E-06,7.55E-03,1.94E-03
PyrT58,B.5mM,PuD0,G.Pkbr1,4.51E-06,3.61E-04,2.64E-03
PyrT59,B.5mM,PuD0,G.Pkbr1,1.52E-06,1.37E-03,2.13E-03
PyrT60,B.5mM,PuD0,G.Pkbr1,4.28E-07,1.48E-03,2.03E-03
PyrT63,B.5mM,PuD0,G.Pkbr1,1.10E-06,1.02E-03,1.82E-03
PyrT64,B.5mM,PuD0,G.Pkbr1,4.09E-07,4.64E-04,9.70E-04
PyrT21,A.Methanol,PreD1,J.Pkbr2,2.25E-05,1.77E-03,2.42E-03
PyrT11,A.Methanol,PreD1,J.Pkbr2,2.51E-05,4.21E-03,4.68E-03
PyrT19,A.Methanol,PreD1,J.Pkbr2,9.13E-06,2.01E-03,2.68E-03
PyrT20,A.Methanol,PreD1,J.Pkbr2,3.35E-05,5.27E-03,4.50E-03
PyrT30,A.Methanol,PreD1,J.Pkbr2,2.64E-05,3.63E-03,3.43E-03
PyrT37,A.Methanol,PreD1,J.Pkbr2,4.41E-05,5.32E-03,5.15E-03
PyrT27,A.Methanol,PuD0,J.Pkbr2,1.19E-05,3.54E-04,5.34E-04
PyrT34,A.Methanol,PuD0,J.Pkbr2,1.80E-05,1.18E-03,1.38E-03
PyrT35,A.Methanol,PuD0,J.Pkbr2,2.13E-05,1.39E-03,9.39E-04
PyrT36,A.Methanol,PuD0,J.Pkbr2,1.44E-05,9.17E-04,1.22E-03
PyrT44,A.Methanol,PuD0,J.Pkbr2,7.42E-06,3.94E-04,7.17E-04
PyrT54,B.5mM,PreD1,J.Pkbr2,1.11E-05,7.86E-04,1.43E-03
PyrT55,B.5mM,PreD1,J.Pkbr2,1.44E-05,2.35E-03,3.51E-03
PyrT56,B.5mM,PreD1,J.Pkbr2,1.76E-05,1.28E-03,2.58E-03
PyrT57,B.5mM,PreD1,J.Pkbr2,2.27E-05,1.69E-03,3.14E-03
PyrT61,B.5mM,PreD1,J.Pkbr2,2.01E-05,2.08E-03,2.64E-03
PyrT62,B.5mM,PreD1,J.Pkbr2,3.01E-05,5.07E-03,3.12E-03
PyrT52,B.5mM,PuD0,J.Pkbr2,1.71E-05,7.55E-03,1.94E-03
PyrT58,B.5mM,PuD0,J.Pkbr2,2.14E-05,3.61E-04,2.64E-03
PyrT59,B.5mM,PuD0,J.Pkbr2,1.94E-05,1.37E-03,2.13E-03
PyrT60,B.5mM,PuD0,J.Pkbr2,1.62E-05,1.48E-03,2.03E-03
PyrT63,B.5mM,PuD0,J.Pkbr2,1.99E-05,1.02E-03,1.82E-03
PyrT64,B.5mM,PuD0,J.Pkbr2,1.37E-05,4.64E-04,9.70E-04
PyrT21,A.Methanol,PreD1,M.Pkbr3,3.08E-04,1.77E-03,2.42E-03
PyrT11,A.Methanol,PreD1,M.Pkbr3,3.36E-04,4.21E-03,4.68E-03
PyrT19,A.Methanol,PreD1,M.Pkbr3,3.52E-04,2.01E-03,2.68E-03
PyrT20,A.Methanol,PreD1,M.Pkbr3,5.97E-04,5.27E-03,4.50E-03
PyrT30,A.Methanol,PreD1,M.Pkbr3,5.73E-04,3.63E-03,3.43E-03
PyrT37,A.Methanol,PreD1,M.Pkbr3,6.05E-04,5.32E-03,5.15E-03
PyrT27,A.Methanol,PuD0,M.Pkbr3,1.41E-04,3.54E-04,5.34E-04
PyrT34,A.Methanol,PuD0,M.Pkbr3,2.43E-04,1.18E-03,1.38E-03
PyrT35,A.Methanol,PuD0,M.Pkbr3,1.63E-04,1.39E-03,9.39E-04
PyrT36,A.Methanol,PuD0,M.Pkbr3,1.39E-04,9.17E-04,1.22E-03
PyrT44,A.Methanol,PuD0,M.Pkbr3,6.93E-05,3.94E-04,7.17E-04
PyrT54,B.5mM,PreD1,M.Pkbr3,3.89E-04,7.86E-04,1.43E-03
PyrT55,B.5mM,PreD1,M.Pkbr3,6.09E-04,2.35E-03,3.51E-03
PyrT56,B.5mM,PreD1,M.Pkbr3,5.26E-04,1.28E-03,2.58E-03
PyrT57,B.5mM,PreD1,M.Pkbr3,6.86E-04,1.69E-03,3.14E-03
PyrT61,B.5mM,PreD1,M.Pkbr3,5.93E-04,2.08E-03,2.64E-03
PyrT62,B.5mM,PreD1,M.Pkbr3,8.11E-04,5.07E-03,3.12E-03
PyrT52,B.5mM,PuD0,M.Pkbr3,3.45E-04,7.55E-03,1.94E-03
PyrT58,B.5mM,PuD0,M.Pkbr3,3.95E-04,3.61E-04,2.64E-03
PyrT59,B.5mM,PuD0,M.Pkbr3,3.11E-04,1.37E-03,2.13E-03
PyrT60,B.5mM,PuD0,M.Pkbr3,2.83E-04,1.48E-03,2.03E-03
PyrT63,B.5mM,PuD0,M.Pkbr3,3.55E-04,1.02E-03,1.82E-03
PyrT64,B.5mM,PuD0,M.Pkbr3,1.86E-04,4.64E-04,9.70E-04
PyrT21,A.Methanol,PreD1,H.Pkbr1.Z2,8.22E-05,1.77E-03,2.42E-03
PyrT11,A.Methanol,PreD1,H.Pkbr1.Z2,8.16E-05,4.21E-03,4.68E-03
PyrT19,A.Methanol,PreD1,H.Pkbr1.Z2,6.33E-05,2.01E-03,2.68E-03
PyrT20,A.Methanol,PreD1,H.Pkbr1.Z2,8.40E-05,5.27E-03,4.50E-03
PyrT30,A.Methanol,PreD1,H.Pkbr1.Z2,6.07E-05,3.63E-03,3.43E-03
PyrT37,A.Methanol,PreD1,H.Pkbr1.Z2,1.11E-04,5.32E-03,5.15E-03
PyrT27,A.Methanol,PuD0,H.Pkbr1.Z2,1.44E-05,3.54E-04,5.34E-04
PyrT34,A.Methanol,PuD0,H.Pkbr1.Z2,3.86E-05,1.18E-03,1.38E-03
PyrT35,A.Methanol,PuD0,H.Pkbr1.Z2,3.89E-05,1.39E-03,9.39E-04
PyrT36,A.Methanol,PuD0,H.Pkbr1.Z2,2.87E-05,9.17E-04,1.22E-03
PyrT44,A.Methanol,PuD0,H.Pkbr1.Z2,2.31E-05,3.94E-04,7.17E-04
PyrT54,B.5mM,PreD1,H.Pkbr1.Z2,4.71E-05,7.86E-04,1.43E-03
PyrT55,B.5mM,PreD1,H.Pkbr1.Z2,5.20E-05,2.35E-03,3.51E-03
PyrT56,B.5mM,PreD1,H.Pkbr1.Z2,2.89E-05,1.28E-03,2.58E-03
PyrT57,B.5mM,PreD1,H.Pkbr1.Z2,6.84E-05,1.69E-03,3.14E-03
PyrT61,B.5mM,PreD1,H.Pkbr1.Z2,2.75E-05,2.08E-03,2.64E-03
PyrT62,B.5mM,PreD1,H.Pkbr1.Z2,4.39E-05,5.07E-03,3.12E-03
PyrT52,B.5mM,PuD0,H.Pkbr1.Z2,1.11E-05,7.55E-03,1.94E-03
PyrT58,B.5mM,PuD0,H.Pkbr1.Z2,9.55E-06,3.61E-04,2.64E-03
PyrT59,B.5mM,PuD0,H.Pkbr1.Z2,9.29E-06,1.37E-03,2.13E-03
PyrT60,B.5mM,PuD0,H.Pkbr1.Z2,5.63E-06,1.48E-03,2.03E-03
PyrT63,B.5mM,PuD0,H.Pkbr1.Z2,1.74E-05,1.02E-03,1.82E-03
PyrT64,B.5mM,PuD0,H.Pkbr1.Z2,9.76E-06,4.64E-04,9.70E-04
PyrT21,A.Methanol,PreD1,I.Pkbr1.Z4,7.82E-05,1.77E-03,2.42E-03
PyrT11,A.Methanol,PreD1,I.Pkbr1.Z4,7.51E-05,4.21E-03,4.68E-03
PyrT19,A.Methanol,PreD1,I.Pkbr1.Z4,6.70E-05,2.01E-03,2.68E-03
PyrT20,A.Methanol,PreD1,I.Pkbr1.Z4,7.87E-05,5.27E-03,4.50E-03
PyrT30,A.Methanol,PreD1,I.Pkbr1.Z4,6.26E-05,3.63E-03,3.43E-03
PyrT37,A.Methanol,PreD1,I.Pkbr1.Z4,1.14E-04,5.32E-03,5.15E-03
PyrT27,A.Methanol,PuD0,I.Pkbr1.Z4,2.06E-05,3.54E-04,5.34E-04
PyrT34,A.Methanol,PuD0,I.Pkbr1.Z4,4.29E-05,1.18E-03,1.38E-03
PyrT35,A.Methanol,PuD0,I.Pkbr1.Z4,4.24E-05,1.39E-03,9.39E-04
PyrT36,A.Methanol,PuD0,I.Pkbr1.Z4,3.33E-05,9.17E-04,1.22E-03
PyrT44,A.Methanol,PuD0,I.Pkbr1.Z4,1.90E-05,3.94E-04,7.17E-04
PyrT54,B.5mM,PreD1,I.Pkbr1.Z4,3.63E-05,7.86E-04,1.43E-03
PyrT55,B.5mM,PreD1,I.Pkbr1.Z4,6.05E-05,2.35E-03,3.51E-03
PyrT56,B.5mM,PreD1,I.Pkbr1.Z4,3.63E-05,1.28E-03,2.58E-03
PyrT57,B.5mM,PreD1,I.Pkbr1.Z4,7.41E-05,1.69E-03,3.14E-03
PyrT61,B.5mM,PreD1,I.Pkbr1.Z4,3.17E-05,2.08E-03,2.64E-03
PyrT62,B.5mM,PreD1,I.Pkbr1.Z4,4.69E-05,5.07E-03,3.12E-03
PyrT52,B.5mM,PuD0,I.Pkbr1.Z4,2.15E-05,7.55E-03,1.94E-03
PyrT58,B.5mM,PuD0,I.Pkbr1.Z4,1.84E-05,3.61E-04,2.64E-03
PyrT59,B.5mM,PuD0,I.Pkbr1.Z4,1.32E-05,1.37E-03,2.13E-03
PyrT60,B.5mM,PuD0,I.Pkbr1.Z4,8.71E-06,1.48E-03,2.03E-03
PyrT63,B.5mM,PuD0,I.Pkbr1.Z4,2.24E-05,1.02E-03,1.82E-03
PyrT64,B.5mM,PuD0,I.Pkbr1.Z4,1.48E-05,4.64E-04,9.70E-04
PyrT21,A.Methanol,PreD1,K.Pkbr2.Z2,4.69E-05,1.77E-03,2.42E-03
PyrT11,A.Methanol,PreD1,K.Pkbr2.Z2,3.40E-05,4.21E-03,4.68E-03
PyrT19,A.Methanol,PreD1,K.Pkbr2.Z2,1.49E-05,2.01E-03,2.68E-03
PyrT20,A.Methanol,PreD1,K.Pkbr2.Z2,4.38E-05,5.27E-03,4.50E-03
PyrT30,A.Methanol,PreD1,K.Pkbr2.Z2,3.48E-05,3.63E-03,3.43E-03
PyrT37,A.Methanol,PreD1,K.Pkbr2.Z2,4.94E-05,5.32E-03,5.15E-03
PyrT27,A.Methanol,PuD0,K.Pkbr2.Z2,2.09E-05,3.54E-04,5.34E-04
PyrT34,A.Methanol,PuD0,K.Pkbr2.Z2,2.12E-05,1.18E-03,1.38E-03
PyrT35,A.Methanol,PuD0,K.Pkbr2.Z2,2.48E-05,1.39E-03,9.39E-04
PyrT36,A.Methanol,PuD0,K.Pkbr2.Z2,2.09E-05,9.17E-04,1.22E-03
PyrT44,A.Methanol,PuD0,K.Pkbr2.Z2,1.13E-05,3.94E-04,7.17E-04
PyrT54,B.5mM,PreD1,K.Pkbr2.Z2,1.80E-05,7.86E-04,1.43E-03
PyrT55,B.5mM,PreD1,K.Pkbr2.Z2,1.73E-05,2.35E-03,3.51E-03
PyrT56,B.5mM,PreD1,K.Pkbr2.Z2,1.75E-05,1.28E-03,2.58E-03
PyrT57,B.5mM,PreD1,K.Pkbr2.Z2,2.88E-05,1.69E-03,3.14E-03
PyrT61,B.5mM,PreD1,K.Pkbr2.Z2,2.60E-05,2.08E-03,2.64E-03
PyrT62,B.5mM,PreD1,K.Pkbr2.Z2,3.61E-05,5.07E-03,3.12E-03
PyrT52,B.5mM,PuD0,K.Pkbr2.Z2,2.04E-05,7.55E-03,1.94E-03
PyrT58,B.5mM,PuD0,K.Pkbr2.Z2,3.13E-05,3.61E-04,2.64E-03
PyrT59,B.5mM,PuD0,K.Pkbr2.Z2,2.27E-05,1.37E-03,2.13E-03
PyrT60,B.5mM,PuD0,K.Pkbr2.Z2,1.87E-05,1.48E-03,2.03E-03
PyrT63,B.5mM,PuD0,K.Pkbr2.Z2,2.32E-05,1.02E-03,1.82E-03
PyrT64,B.5mM,PuD0,K.Pkbr2.Z2,1.44E-05,4.64E-04,9.70E-04
PyrT21,A.Methanol,PreD1,L.Pkbr2.Z4,3.59E-05,1.77E-03,2.42E-03
PyrT11,A.Methanol,PreD1,L.Pkbr2.Z4,3.09E-05,4.21E-03,4.68E-03
PyrT19,A.Methanol,PreD1,L.Pkbr2.Z4,1.73E-05,2.01E-03,2.68E-03
PyrT20,A.Methanol,PreD1,L.Pkbr2.Z4,5.00E-05,5.27E-03,4.50E-03
PyrT30,A.Methanol,PreD1,L.Pkbr2.Z4,4.83E-05,3.63E-03,3.43E-03
PyrT37,A.Methanol,PreD1,L.Pkbr2.Z4,5.40E-05,5.32E-03,5.15E-03
PyrT27,A.Methanol,PuD0,L.Pkbr2.Z4,2.61E-05,3.54E-04,5.34E-04
PyrT34,A.Methanol,PuD0,L.Pkbr2.Z4,3.05E-05,1.18E-03,1.38E-03
PyrT35,A.Methanol,PuD0,L.Pkbr2.Z4,3.32E-05,1.39E-03,9.39E-04
PyrT36,A.Methanol,PuD0,L.Pkbr2.Z4,3.03E-05,9.17E-04,1.22E-03
PyrT44,A.Methanol,PuD0,L.Pkbr2.Z4,1.58E-05,3.94E-04,7.17E-04
PyrT54,B.5mM,PreD1,L.Pkbr2.Z4,1.67E-05,7.86E-04,1.43E-03
PyrT55,B.5mM,PreD1,L.Pkbr2.Z4,2.28E-05,2.35E-03,3.51E-03
PyrT56,B.5mM,PreD1,L.Pkbr2.Z4,2.11E-05,1.28E-03,2.58E-03
PyrT57,B.5mM,PreD1,L.Pkbr2.Z4,3.79E-05,1.69E-03,3.14E-03
PyrT61,B.5mM,PreD1,L.Pkbr2.Z4,2.88E-05,2.08E-03,2.64E-03
PyrT62,B.5mM,PreD1,L.Pkbr2.Z4,5.37E-05,5.07E-03,3.12E-03
PyrT52,B.5mM,PuD0,L.Pkbr2.Z4,2.96E-05,7.55E-03,1.94E-03
PyrT58,B.5mM,PuD0,L.Pkbr2.Z4,3.85E-05,3.61E-04,2.64E-03
PyrT59,B.5mM,PuD0,L.Pkbr2.Z4,3.32E-05,1.37E-03,2.13E-03
PyrT60,B.5mM,PuD0,L.Pkbr2.Z4,2.57E-05,1.48E-03,2.03E-03
PyrT63,B.5mM,PuD0,L.Pkbr2.Z4,3.22E-05,1.02E-03,1.82E-03
PyrT64,B.5mM,PuD0,L.Pkbr2.Z4,1.88E-05,4.64E-04,9.70E-04
PyrT21,A.Methanol,PreD1,N.Pkbr3.Z2,1.66E-04,1.77E-03,2.42E-03
PyrT11,A.Methanol,PreD1,N.Pkbr3.Z2,1.66E-04,4.21E-03,4.68E-03
PyrT19,A.Methanol,PreD1,N.Pkbr3.Z2,1.90E-04,2.01E-03,2.68E-03
PyrT20,A.Methanol,PreD1,N.Pkbr3.Z2,2.77E-04,5.27E-03,4.50E-03
PyrT30,A.Methanol,PreD1,N.Pkbr3.Z2,2.81E-04,3.63E-03,3.43E-03
PyrT37,A.Methanol,PreD1,N.Pkbr3.Z2,3.83E-04,5.32E-03,5.15E-03
PyrT27,A.Methanol,PuD0,N.Pkbr3.Z2,6.10E-05,3.54E-04,5.34E-04
PyrT34,A.Methanol,PuD0,N.Pkbr3.Z2,1.09E-04,1.18E-03,1.38E-03
PyrT35,A.Methanol,PuD0,N.Pkbr3.Z2,9.62E-05,1.39E-03,9.39E-04
PyrT36,A.Methanol,PuD0,N.Pkbr3.Z2,7.10E-05,9.17E-04,1.22E-03
