Sample,Treatment,Stage treated,Gene,SDM.gene,rp49.1,rp49.2
PyrT27,A.Methanol,PuD0,P.Tai.IN,7.36E-04,3.54E-04,5.34E-04
PyrT34,A.Methanol,PuD0,P.Tai.IN,7.20E-04,1.18E-03,1.38E-03
PyrT35,A.Methanol,PuD0,P.Tai.IN,1.16E-03,1.39E-03,9.39E-04
PyrT36,A.Methanol,PuD0,P.Tai.IN,1.00E-03,9.17E-04,1.22E-03
PyrT44,A.Methanol,PuD0,P.Tai.IN,2.13E-04,3.94E-04,7.17E-04
PyrT54,B.5mM,PreD1,P.Tai.IN,2.01E-04,7.86E-04,1.43E-03
PyrT55,B.5mM,PreD1,P.Tai.IN,4.40E-04,2.35E-03,3.51E-03
PyrT56,B.5mM,PreD1,P.Tai.IN,3.25E-04,1.28E-03,2.58E-03
PyrT57,B.5mM,PreD1,P.Tai.IN,7.94E-04,1.69E-03,3.14E-03
PyrT61,B.5mM,PreD1,P.Tai.IN,5.28E-04,2.08E-03,2.64E-03
PyrT62,B.5mM,PreD1,P.Tai.IN,6.57E-04,5.07E-03,3.12E-03
PyrT52,B.5mM,PuD0,P.Tai.IN,3.56E-04,7.55E-03,1.94E-03
PyrT58,B.5mM,PuD0,P.Tai.IN,4.40E-04,3.61E-04,2.64E-03
PyrT59,B.5mM,PuD0,P.Tai.IN,2.93E-04,1.37E-03,2.13E-03
PyrT60,B.5mM,PuD0,P.Tai.IN,1.82E-04,1.48E-03,2.03E-03
PyrT63,B.5mM,PuD0,P.Tai.IN,5.69E-04,1.02E-03,1.82E-03
PyrT64,B.5mM,PuD0,P.Tai.IN,2.20E-04,4.64E-04,9.70E-04
PyrT21,A.Methanol,PreD1,Q.Tai-DEL,2.33E-05,1.77E-03,2.42E-03
PyrT11,A.Methanol,PreD1,Q.Tai-DEL,2.18E-05,4.21E-03,4.68E-03
PyrT19,A.Methanol,PreD1,Q.Tai-DEL,3.30E-05,2.01E-03,2.68E-03
PyrT20,A.Methanol,PreD1,Q.Tai-DEL,5.12E-05,5.27E-03,4.50E-03
PyrT30,A.Methanol,PreD1,Q.Tai-DEL,6.59E-05,3.63E-03,3.43E-03
PyrT37,A.Methanol,PreD1,Q.Tai-DEL,7.69E-05,5.32E-03,5.15E-03
PyrT27,A.Methanol,PuD0,Q.Tai-DEL,2.35E-05,3.54E-04,5.34E-04
PyrT34,A.Methanol,PuD0,Q.Tai-DEL,1.32E-05,1.18E-03,1.38E-03
PyrT35,A.Methanol,PuD0,Q.Tai-DEL,2.80E-05,1.39E-03,9.39E-04
PyrT36,A.Methanol,PuD0,Q.Tai-DEL,2.04E-05,9.17E-04,1.22E-03
PyrT44,A.Methanol,PuD0,Q.Tai-DEL,5.47E-06,3.94E-04,7.17E-04
PyrT54,B.5mM,PreD1,Q.Tai-DEL,1.41E-05,7.86E-04,1.43E-03
PyrT55,B.5mM,PreD1,Q.Tai-DEL,7.04E-05,2.35E-03,3.51E-03
PyrT56,B.5mM,PreD1,Q.Tai-DEL,4.16E-05,1.28E-03,2.58E-03
PyrT57,B.5mM,PreD1,Q.Tai-DEL,6.59E-05,1.69E-03,3.14E-03
PyrT61,B.5mM,PreD1,Q.Tai-DEL,5.24E-05,2.08E-03,2.64E-03
PyrT62,B.5mM,PreD1,Q.Tai-DEL,1.47E-04,5.07E-03,3.12E-03
PyrT52,B.5mM,PuD0,Q.Tai-DEL,2.65E-05,7.55E-03,1.94E-03
PyrT58,B.5mM,PuD0,Q.Tai-DEL,2.43E-05,3.61E-04,2.64E-03
PyrT59,B.5mM,PuD0,Q.Tai-DEL,1.91E-05,1.37E-03,2.13E-03
PyrT60,B.5mM,PuD0,Q.Tai-DEL,1.45E-05,1.48E-03,2.03E-03
PyrT63,B.5mM,PuD0,Q.Tai-DEL,1.12E-05,1.02E-03,1.82E-03
PyrT64,B.5mM,PuD0,Q.Tai-DEL,4.64E-06,4.64E-04,9.70E-04
PyrT21,A.Methanol,PreD1,O.Tai,4.38E-04,1.77E-03,2.42E-03
PyrT11,A.Methanol,PreD1,O.Tai,4.91E-04,4.21E-03,4.68E-03
PyrT19,A.Methanol,PreD1,O.Tai,6.48E-04,2.01E-03,2.68E-03
PyrT20,A.Methanol,PreD1,O.Tai,8.17E-04,5.27E-03,4.50E-03
PyrT30,A.Methanol,PreD1,O.Tai,7.00E-04,3.63E-03,3.43E-03
PyrT37,A.Methanol,PreD1,O.Tai,8.30E-04,5.32E-03,5.15E-03
PyrT27,A.Methanol,PuD0,O.Tai,1.01E-03,3.54E-04,5.34E-04
PyrT34,A.Methanol,PuD0,O.Tai,3.24E-04,1.18E-03,1.38E-03
PyrT35,A.Methanol,PuD0,O.Tai,1.05E-03,1.39E-03,9.39E-04
PyrT36,A.Methanol,PuD0,O.Tai,1.04E-03,9.17E-04,1.22E-03
PyrT44,A.Methanol,PuD0,O.Tai,2.44E-04,3.94E-04,7.17E-04
PyrT54,B.5mM,PreD1,O.Tai,3.24E-04,7.86E-04,1.43E-03
PyrT55,B.5mM,PreD1,O.Tai,6.29E-04,2.35E-03,3.51E-03
PyrT56,B.5mM,PreD1,O.Tai,4.31E-04,1.28E-03,2.58E-03
PyrT57,B.5mM,PreD1,O.Tai,8.05E-04,1.69E-03,3.14E-03
PyrT61,B.5mM,PreD1,O.Tai,4.08E-04,2.08E-03,2.64E-03
PyrT62,B.5mM,PreD1,O.Tai,1.08E-03,5.07E-03,3.12E-03
PyrT52,B.5mM,PuD0,O.Tai,4.91E-04,7.55E-03,1.94E-03
PyrT58,B.5mM,PuD0,O.Tai,4.87E-04,3.61E-04,2.64E-03
PyrT59,B.5mM,PuD0,O.Tai,3.61E-04,1.37E-03,2.13E-03
PyrT60,B.5mM,PuD0,O.Tai,2.93E-04,1.48E-03,2.03E-03
PyrT63,B.5mM,PuD0,O.Tai,5.18E-04,1.02E-03,1.82E-03
PyrT64,B.5mM,PuD0,O.Tai,2.04E-04,4.64E-04,9.70E-04
